Version 5.13
Size of reals used in simulation: 10 bytes
Timestamp at start: 7-8-24 10:16:23
Reading in of parameters:
l1.L = 8E-7
l1.N_anion = 2E21
l1.N_cation = 2E21
l1.N_t_bulk = 1.1E22
Read parameters for layer 1 from ../../pero.txt
NP = 1000
tolPois = 1E-7
tolDens = 1E-6
couplePC = 10
minAcc = 0.1
maxAcc = 0.1
grad = 4
Vscan = 1
Vmax = 50
timeout = 540
JVFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/JV_06579922-fc87-4efc-b7bd-0ab78fb099eb.dat
scParsFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/scPars_06579922-fc87-4efc-b7bd-0ab78fb099eb.txt
logFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/log_06579922-fc87-4efc-b7bd-0ab78fb099eb.txt
Read simulation setup from /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/simulation_setup_sclc_notl.txt

The following voltages will be simulated:
  i       V    UpdateIons   Store
  1     0.010     TRUE      TRUE
  2     0.011     TRUE      TRUE
  3     0.012     TRUE      TRUE
  4     0.013     TRUE      TRUE
  5     0.013     TRUE      TRUE
  6     0.014     TRUE      TRUE
  7     0.015     TRUE      TRUE
  8     0.016     TRUE      TRUE
  9     0.017     TRUE      TRUE
 10     0.018     TRUE      TRUE
 11     0.020     TRUE      TRUE
 12     0.021     TRUE      TRUE
 13     0.022     TRUE      TRUE
 14     0.023     TRUE      TRUE
 15     0.025     TRUE      TRUE
 16     0.026     TRUE      TRUE
 17     0.028     TRUE      TRUE
 18     0.029     TRUE      TRUE
 19     0.031     TRUE      TRUE
 20     0.032     TRUE      TRUE
 21     0.034     TRUE      TRUE
 22     0.036     TRUE      TRUE
 23     0.037     TRUE      TRUE
 24     0.039     TRUE      TRUE
 25     0.041     TRUE      TRUE
 26     0.043     TRUE      TRUE
 27     0.046     TRUE      TRUE
 28     0.048     TRUE      TRUE
 29     0.050     TRUE      TRUE
 30     0.053     TRUE      TRUE
 31     0.055     TRUE      TRUE
 32     0.058     TRUE      TRUE
 33     0.060     TRUE      TRUE
 34     0.063     TRUE      TRUE
 35     0.066     TRUE      TRUE
 36     0.069     TRUE      TRUE
 37     0.072     TRUE      TRUE
 38     0.076     TRUE      TRUE
 39     0.079     TRUE      TRUE
 40     0.083     TRUE      TRUE
 41     0.086     TRUE      TRUE
 42     0.090     TRUE      TRUE
 43     0.094     TRUE      TRUE
 44     0.098     TRUE      TRUE
 45     0.103     TRUE      TRUE
 46     0.107     TRUE      TRUE
 47     0.112     TRUE      TRUE
 48     0.117     TRUE      TRUE
 49     0.122     TRUE      TRUE
 50     0.127     TRUE      TRUE
 51     0.133     TRUE      TRUE
 52     0.139     TRUE      TRUE
 53     0.145     TRUE      TRUE
 54     0.151     TRUE      TRUE
 55     0.157     TRUE      TRUE
 56     0.164     TRUE      TRUE
 57     0.171     TRUE      TRUE
