Version 5.13
Size of reals used in simulation: 10 bytes
Timestamp at start: 7-8-24 10:42:23
Reading in of parameters:
l1.L = 1E-6
l1.N_anion = 0
l1.N_cation = 0
l1.N_t_bulk = 3E21
Read parameters for layer 1 from ../../pero.txt
NP = 1000
tolPois = 1E-7
tolDens = 1E-7
couplePC = 4
minAcc = 1
maxAcc = 1
grad = 1
Vscan = -1
Vmax = 100
timeout = 540
JVFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/JV_473eee72-0efb-4d90-936a-639ce6c7f505.dat
scParsFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/scPars_473eee72-0efb-4d90-936a-639ce6c7f505.txt
logFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/log_473eee72-0efb-4d90-936a-639ce6c7f505.txt
Read simulation setup from /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/simulation_setup_sclc_notl.txt

The following voltages will be simulated:
  i       V    UpdateIons   Store
  1   100.000     TRUE      TRUE
  2    95.810     TRUE      TRUE
  3    91.795     TRUE      TRUE
  4    87.949     TRUE      TRUE
  5    84.264     TRUE      TRUE
  6    80.733     TRUE      TRUE
  7    77.350     TRUE      TRUE
  8    74.109     TRUE      TRUE
  9    71.003     TRUE      TRUE
 10    68.028     TRUE      TRUE
 11    65.177     TRUE      TRUE
 12    62.446     TRUE      TRUE
 13    59.829     TRUE      TRUE
 14    57.322     TRUE      TRUE
 15    54.920     TRUE      TRUE
 16    52.619     TRUE      TRUE
 17    50.414     TRUE      TRUE
 18    48.301     TRUE      TRUE
 19    46.277     TRUE      TRUE
 20    44.338     TRUE      TRUE
 21    42.480     TRUE      TRUE
 22    40.699     TRUE      TRUE
 23    38.994     TRUE      TRUE
 24    37.360     TRUE      TRUE
 25    35.794     TRUE      TRUE
 26    34.294     TRUE      TRUE
 27    32.857     TRUE      TRUE
 28    31.480     TRUE      TRUE
 29    30.160     TRUE      TRUE
 30    28.896     TRUE      TRUE
 31    27.685     TRUE      TRUE
 32    26.525     TRUE      TRUE
 33    25.413     TRUE      TRUE
 34    24.348     TRUE      TRUE
 35    23.327     TRUE      TRUE
 36    22.350     TRUE      TRUE
 37    21.413     TRUE      TRUE
 38    20.515     TRUE      TRUE
 39    19.655     TRUE      TRUE
 40    18.831     TRUE      TRUE
 41    18.042     TRUE      TRUE
 42    17.286     TRUE      TRUE
 43    16.561     TRUE      TRUE
 44    15.867     TRUE      TRUE
 45    15.201     TRUE      TRUE
 46    14.564     TRUE      TRUE
 47    13.954     TRUE      TRUE
 48    13.368     TRUE      TRUE
 49    12.808     TRUE      TRUE
 50    12.271     TRUE      TRUE
 51    11.756     TRUE      TRUE
 52    11.263     TRUE      TRUE
 53    10.791     TRUE      TRUE
 54    10.339     TRUE      TRUE
 55     9.905     TRUE      TRUE
 56     9.490     TRUE      TRUE
 57     9.092     TRUE      TRUE
 58     8.710     TRUE      TRUE
 59     8.345     TRUE      TRUE
 60     7.995     TRUE      TRUE
 61     7.659     TRUE      TRUE
 62     7.338     TRUE      TRUE
 63     7.030     TRUE      TRUE
 64     6.735     TRUE      TRUE
 65     6.453     TRUE      TRUE
 66     6.182     TRUE      TRUE
 67     5.922     TRUE      TRUE
 68     5.674     TRUE      TRUE
 69     5.436     TRUE      TRUE
 70     5.208     TRUE      TRUE
 71     4.989     TRUE      TRUE
 72     4.780     TRUE      TRUE
 73     4.579     TRUE      TRUE
 74     4.387     TRUE      TRUE
 75     4.202     TRUE      TRUE
 76     4.026     TRUE      TRUE
 77     3.857     TRUE      TRUE
 78     3.695     TRUE      TRUE
 79     3.540     TRUE      TRUE
 80     3.391     TRUE      TRUE
 81     3.248     TRUE      TRUE
 82     3.112     TRUE      TRUE
 83     2.981     TRUE      TRUE
 84     2.856     TRUE      TRUE
 85     2.736     TRUE      TRUE
 86     2.621     TRUE      TRUE
 87     2.510     TRUE      TRUE
 88     2.405     TRUE      TRUE
 89     2.304     TRUE      TRUE
 90     2.207     TRUE      TRUE
 91     2.114     TRUE      TRUE
 92     2.025     TRUE      TRUE
 93     1.940     TRUE      TRUE
 94     1.858     TRUE      TRUE
 95     1.780     TRUE      TRUE
 96     1.705     TRUE      TRUE
 97     1.633     TRUE      TRUE
 98     1.564     TRUE      TRUE
 99     1.498     TRUE      TRUE
100     1.435     TRUE      TRUE
101     1.374     TRUE      TRUE
102     1.316     TRUE      TRUE
103     1.261     TRUE      TRUE
104     1.208     TRUE      TRUE
105     1.157     TRUE      TRUE
106     1.108     TRUE      TRUE
107     1.061     TRUE      TRUE
108     1.016     TRUE      TRUE
109     0.973     TRUE      TRUE
110     0.932     TRUE      TRUE
111     0.892     TRUE      TRUE
112     0.855     TRUE      TRUE
113     0.818     TRUE      TRUE
114     0.784     TRUE      TRUE
115     0.750     TRUE      TRUE
116     0.718     TRUE      TRUE
117     0.688     TRUE      TRUE
118     0.659     TRUE      TRUE
119     0.631     TRUE      TRUE
120     0.604     TRUE      TRUE
121     0.578     TRUE      TRUE
122     0.554     TRUE      TRUE
123     0.530     TRUE      TRUE
124     0.507     TRUE      TRUE
125     0.486     TRUE      TRUE
126     0.465     TRUE      TRUE
127     0.445     TRUE      TRUE
128     0.426     TRUE      TRUE
129     0.408     TRUE      TRUE
130     0.390     TRUE      TRUE
131     0.373     TRUE      TRUE
132     0.357     TRUE      TRUE
133     0.342     TRUE      TRUE
134     0.327     TRUE      TRUE
135     0.313     TRUE      TRUE
136     0.300     TRUE      TRUE
137     0.287     TRUE      TRUE
138     0.274     TRUE      TRUE
139     0.262     TRUE      TRUE
140     0.251     TRUE      TRUE
141     0.240     TRUE      TRUE
142     0.229     TRUE      TRUE
143     0.219     TRUE      TRUE
144     0.210     TRUE      TRUE
145     0.201     TRUE      TRUE
146     0.192     TRUE      TRUE
147     0.183     TRUE      TRUE
148     0.175     TRUE      TRUE
149     0.167     TRUE      TRUE
150     0.160     TRUE      TRUE
151     0.153     TRUE      TRUE
152     0.146     TRUE      TRUE
153     0.140     TRUE      TRUE
154     0.133     TRUE      TRUE
155     0.127     TRUE      TRUE
156     0.121     TRUE      TRUE
157     0.116     TRUE      TRUE
158     0.111     TRUE      TRUE
159     0.106     TRUE      TRUE
160     0.101     TRUE      TRUE
161     0.096     TRUE      TRUE
162     0.092     TRUE      TRUE
163     0.087     TRUE      TRUE
164     0.083     TRUE      TRUE
165     0.079     TRUE      TRUE
166     0.076     TRUE      TRUE
167     0.072     TRUE      TRUE
168     0.069     TRUE      TRUE
169     0.065     TRUE      TRUE
170     0.062     TRUE      TRUE
171     0.059     TRUE      TRUE
172     0.056     TRUE      TRUE
173     0.054     TRUE      TRUE
174     0.051     TRUE      TRUE
175     0.048     TRUE      TRUE
176     0.046     TRUE      TRUE
177     0.044     TRUE      TRUE
178     0.041     TRUE      TRUE
179     0.039     TRUE      TRUE
180     0.037     TRUE      TRUE
181     0.035     TRUE      TRUE
182     0.033     TRUE      TRUE
183     0.031     TRUE      TRUE
184     0.030     TRUE      TRUE
185     0.028     TRUE      TRUE
186     0.026     TRUE      TRUE
187     0.025     TRUE      TRUE
188     0.023     TRUE      TRUE
189     0.022     TRUE      TRUE
190     0.021     TRUE      TRUE
191     0.019     TRUE      TRUE
192     0.018     TRUE      TRUE
193     0.017     TRUE      TRUE
194     0.016     TRUE      TRUE
195     0.015     TRUE      TRUE
196     0.014     TRUE      TRUE
197     0.013     TRUE      TRUE
198     0.012     TRUE      TRUE
199     0.011     TRUE      TRUE
200     0.010     TRUE      TRUE

Timestamp at end: 7-8-24 10:43:23
Total run time: 59.866 seconds.
