Version 5.13
Size of reals used in simulation: 10 bytes
Timestamp at start: 7-8-24 10:14:22
Reading in of parameters:
l1.L = 8E-7
l1.N_anion = 0
l1.N_cation = 0
l1.N_t_bulk = 1E22
Read parameters for layer 1 from ../../pero.txt
NP = 1000
tolPois = 1E-7
tolDens = 1E-7
couplePC = 4
minAcc = 1
maxAcc = 1
grad = 1
Vscan = -1
Vmax = 50
timeout = 540
JVFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/JV_6301db09-e6e8-425e-b513-df1cda267711.dat
scParsFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/scPars_6301db09-e6e8-425e-b513-df1cda267711.txt
logFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/log_6301db09-e6e8-425e-b513-df1cda267711.txt
Read simulation setup from /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/simulation_setup_sclc_notl.txt

The following voltages will be simulated:
  i       V    UpdateIons   Store
  1    50.000     TRUE      TRUE
  2    48.072     TRUE      TRUE
  3    46.218     TRUE      TRUE
  4    44.436     TRUE      TRUE
  5    42.722     TRUE      TRUE
  6    41.075     TRUE      TRUE
  7    39.491     TRUE      TRUE
  8    37.968     TRUE      TRUE
  9    36.503     TRUE      TRUE
 10    35.096     TRUE      TRUE
 11    33.742     TRUE      TRUE
 12    32.441     TRUE      TRUE
 13    31.190     TRUE      TRUE
 14    29.987     TRUE      TRUE
 15    28.830     TRUE      TRUE
 16    27.718     TRUE      TRUE
 17    26.649     TRUE      TRUE
 18    25.621     TRUE      TRUE
 19    24.633     TRUE      TRUE
 20    23.683     TRUE      TRUE
 21    22.770     TRUE      TRUE
 22    21.891     TRUE      TRUE
 23    21.047     TRUE      TRUE
 24    20.235     TRUE      TRUE
 25    19.455     TRUE      TRUE
 26    18.704     TRUE      TRUE
 27    17.983     TRUE      TRUE
 28    17.289     TRUE      TRUE
 29    16.622     TRUE      TRUE
 30    15.981     TRUE      TRUE
 31    15.364     TRUE      TRUE
 32    14.771     TRUE      TRUE
 33    14.202     TRUE      TRUE
 34    13.654     TRUE      TRUE
 35    13.127     TRUE      TRUE
 36    12.620     TRUE      TRUE
 37    12.133     TRUE      TRUE
 38    11.665     TRUE      TRUE
 39    11.215     TRUE      TRUE
 40    10.782     TRUE      TRUE
 41    10.366     TRUE      TRUE
 42     9.966     TRUE      TRUE
 43     9.581     TRUE      TRUE
 44     9.212     TRUE      TRUE
 45     8.856     TRUE      TRUE
 46     8.514     TRUE      TRUE
 47     8.186     TRUE      TRUE
 48     7.870     TRUE      TRUE
 49     7.566     TRUE      TRUE
 50     7.274     TRUE      TRUE
 51     6.993     TRUE      TRUE
 52     6.723     TRUE      TRUE
 53     6.463     TRUE      TRUE
 54     6.214     TRUE      TRUE
 55     5.974     TRUE      TRUE
 56     5.743     TRUE      TRUE
 57     5.521     TRUE      TRUE
 58     5.308     TRUE      TRUE
 59     5.103     TRUE      TRUE
 60     4.906     TRUE      TRUE
 61     4.716     TRUE      TRUE
 62     4.534     TRUE      TRUE
 63     4.359     TRUE      TRUE
 64     4.190     TRUE      TRUE
 65     4.029     TRUE      TRUE
 66     3.873     TRUE      TRUE
 67     3.723     TRUE      TRUE
 68     3.579     TRUE      TRUE
 69     3.441     TRUE      TRUE
