Ref,Good µ,TFL regime,Position VTFL,Mention ions,Ohmic slope,SCLC slope,Report scan speed,Measure (+)/(-) voltages,Hysteresis sweep,pulsed-SCLC,Wrong conclusion
https://doi.org/10.1038/s41586-023-05825-y,nan,1,0,0,1,1,0,0,0,0,1
https://dx.doi.org/10.2139/ssrn.4896723,0,1,0,0,0,0,0,0,0,0,0
https://dx.doi.org/10.2139/ssrn.4896723,0,0,nan,0,1,0,0,0,0,0,0
https://doi.org/10.1002/adma.202405840,nan,0,0,1,1,1,1,0,1,1,0
https://doi.org/10.1002/smll.202402825,nan,1,0,0,0,1,0,0,0,0,0
https://doi.org/10.1002/aenm.202401907,0,1,0,0,0,0,0,0,0,0,0
https://doi.org/10.1002/adfm.202403746,0,1,0,0,0,0,0,0,0,0,1
https://doi.org/10.1002/advs.202402796,nan,1,0,0,0,0,0,0,0,0,0
https://doi.org/10.1039/D4TC00719K,0,nan,0,0,0,0,0,0,0,0,nan
https://doi.org/10.1021/acsami.4c05838,nan,1,0,0,0,0,0,0,0,0,1
https://doi.org/10.1002/adfm.202405556,nan,1,0,0,1,1,0,0,0,0,0
https://doi.org/10.1021/acsaelm.4c00218,nan,1,0,0,1,1,0,0,0,0,1
https://doi.org/10.1016/j.xcrp.2024.102058,nan,1,1,1,0,0,0,0,0,0,nan
https://doi.org/10.1016/j.nanoen.2024.109875,nan,1,1,0,1,0,0,0,0,0,0
https://doi.org/10.1002/smll.202404334,nan,1,0,0,0,1,0,0,0,0,1
https://doi.org/10.1021/acsami.3c19394,1,1,0,0,0,0,0,0,0,0,1
https://doi.org/10.1002/sstr.202400132,0,1,1,0,0,0,1,0,0,0,0
https://doi.org/10.1364/OE.519251,nan,1,0,0,0,0,0,0,0,0,0
https://doi.org/10.1016/j.cej.2024.152213,0,0,0,0,0,1,0,0,0,0,1
https://doi.org/10.1002/smll.202402268,0,1,0,1,1,0,0,0,0,1,nan
https://doi.org/10.1002/cptc.202400040,0,1,0,0,0,0,0,0,0,0,nan
https://doi.org/10.1002/smll.202401456,nan,1,0,0,0,0,0,0,0,0,nan
https://doi.org/10.1021/acsaelm.4c00622,0,1,0,0,1,0,0,0,0,0,nan
https://doi.org/10.1002/smll.202402197,nan,1,0,0,0,0,0,0,0,0,1
https://doi.org/10.1021/acsenergylett.4c00656,nan,1,1,0,1,0,0,0,0,0,0
https://doi.org/10.1002/aenm.202400582,0,1,0,0,1,1,1,0,0,0,0
https://doi.org/10.1002/adma.202312704,nan,1,0,0,1,1,1,0,0,0,0
https://doi.org/10.1021/acsami.4c03260,nan,1,0,0,0,0,0,0,0,0,nan
https://doi.org/10.1002/adfm.202401220,0,1,0,0,0,0,0,0,0,0,nan
https://doi.org/10.1021/acsami.4c00288,0,1,0,0,1,0,0,0,0,0,nan
https://doi.org/10.1002/advs.202400150,0,1,0,0,0,0,0,0,0,0,1
https://doi.org/10.1002/advs.202309668,nan,1,0,0,1,1,0,0,0,0,0
https://doi.org/10.1002/smll.202311969,nan,nan,0,0,0,0,0,0,0,0,nan
https://doi.org/10.1002/ange.202402904,nan,1,1,0,0,0,0,0,0,0,nan
https://doi.org/10.1002/smtd.202301793,nan,1,0,0,0,0,0,0,0,0,nan
https://doi.org/10.1016/j.cej.2024.150382,nan,1,0,0,1,1,0,0,0,0,1
https://doi.org/10.1021/acsaem.3c02369,nan,1,0,0,1,0,0,0,0,0,nan
https://doi.org/10.1002/ente.202301316,nan,1,1,0,1,1,0,0,0,0,nan
https://doi.org/10.1016/j.orgel.2024.107026,nan,0,0,0,0,0,0,0,0,0,1
https://doi.org/10.1016/j.nanoen.2024.109423,nan,1,1,0,1,0,0,0,0,0,nan
https://doi.org/10.1038/s41586-024-07189-3,nan,1,0,1,0,0,1,0,0,0,nan
https://doi.org/10.1002/solr.202400016,nan,1,0,0,1,0,1,0,0,0,nan
https://doi.org/10.1016/j.mssp.2024.108185,nan,1,0,0,1,1,0,0,0,0,1
https://doi.org/10.1016/j.apsusc.2024.159643,nan,1,0,0,0,1,0,0,0,0,0
https://doi.org/10.1002/adma.202312170,0,1,0,0,0,0,1,0,0,0,nan
https://doi.org/10.1002/solr.202300739,nan,1,1,0,1,1,0,0,0,0,0
https://doi.org/10.1021/acsenergylett.3c02357,0,1,0,0,0,0,0,0,0,0,1
https://doi.org/10.1002/adma.202309193,0,1,0,0,1,0,1,0,0,0,nan
https://doi.org/10.1002/smll.202309009,nan,1,0,0,0,0,0,0,0,0,nan
https://doi.org/10.48550/arXiv.2406.03123,nan,1,0,0,0,0,0,0,0,0,nan
