ID,N_t_bulk
0ccdb464-c1d0-48e0-8cad-df1087304bd0,1e+21
d1e642eb-302c-4eaa-9251-e3bbad3518a9,2e+21
60f6519f-0863-4537-8974-a3b6e7bf937e,3e+21
fd535bdc-1bd1-423c-a445-90c2343eb47d,4e+21
58ab6080-df6f-436b-b028-e9d7d3dca334,5e+21
032834d1-ab99-4436-91b7-9d0a4980b169,6e+21
caf4fe12-6a30-4e94-a035-f34e07350401,7e+21
251e614f-dbde-4d74-9ccc-897c47441326,8e+21
e7b54b91-4151-4cb8-90f6-facbfa17f202,9e+21
c6af0a9a-2073-4ddd-a0dd-77c556f47a96,1e+22
77d9e713-121e-4af6-867a-e0d5f5f97aa3,1.1e+22
e1569faa-3acc-4793-98e8-d497c8df1456,1.2e+22
33791638-9af1-465b-a59a-a66c466c2d1e,1.3e+22
29bf6ccd-6936-4db9-9dfc-d6b7f78b8c1d,1.4e+22
569e859f-8c82-479d-a17b-59e9b4588281,1.5e+22
