ID,N_t_bulk
8b804b61-f635-4569-98b3-d77c0f8ee95e,1e+21
83513810-f20d-4d8f-91de-eac0279f6f22,2e+21
6f4e64c2-3bdc-420b-b06a-ea75c912be9d,3e+21
357a797b-300d-4d11-8c82-0a4fe022d197,4e+21
f02e001c-889d-4269-8f48-a6ba701d84d4,5e+21
f0336226-5503-439a-baf4-1345a9ef18dd,6e+21
79f0861c-22c4-493e-b54f-7d53142b7e2f,7e+21
54a832bf-031b-4f3f-91e3-d3186253b479,8e+21
b82e27ae-1786-453b-abff-3147ae767381,9e+21
73fa9d36-b2c1-4eea-a171-f29745ffd419,1e+22
5fee1727-e394-4cf3-ab32-15abcece419b,1.1e+22
9293853a-472b-42b6-8fd5-003e20981dfd,1.2e+22
5a897118-eb97-45e7-839d-c8c039060509,1.3e+22
fe229237-56ee-4fae-9631-d17b373a9142,1.4e+22
3b170de1-92a2-4b13-a0fa-36eda7fece5a,1.5e+22
