ID,N_t_bulk
a6010cde-a699-49e8-a2d8-65049d915a20,1e+21
20af9c5b-7e96-4d2f-a98f-5f1a91508a20,2e+21
858889c0-20f1-49f9-b488-c4457d366674,3e+21
c64195be-ab88-48e2-b45a-98c61898099b,4e+21
2e81bdbf-490d-41e4-ba89-098712b666bf,5e+21
08c81148-5032-43a3-b6cd-2232935c8b25,6e+21
161d06ff-9928-43aa-a5d1-50d931141d16,7e+21
883bc8f4-c231-47de-a84d-c0142e7ffa36,8e+21
b3b1d646-0f05-4253-86f5-26cabffa7aa9,9e+21
8af55aad-fe2f-491e-8ae4-52b17ae0c242,1e+22
06579922-fc87-4efc-b7bd-0ab78fb099eb,1.1e+22
16c26318-5742-4d97-88d3-d887e1b9d2be,1.2e+22
7a81d164-a03e-4a01-8d95-e5a74544ceca,1.3e+22
e6757c64-dc9a-4925-bcca-7402b1332405,1.4e+22
f49bebe2-2afd-4485-b6e8-9f246169f2cf,1.5e+22
